Time,HR,Skin_Temp,GSR,AirTemp,Movement,HR_stdv,GSR_stdv,unkown_stdv
2020-11-10 18:07:59,79.22033898305085,50.5,1.301747718188052e-07,5200789.75,50,9.714688854827386,3.587285307468707e-08,3974674.8113871766
2020-11-10 18:08:59,83.6,54.333333333333336,1.2710399681470875e-07,6679982.5,99,0.8,4.6229171644475376e-08,5096907.146694773
2020-11-10 18:09:59,74.85,60,9.099364387806605e-08,4874743,357,8.855930216527229,6.54094820118012e-08,5149159.654854518
2020-11-10 18:11:59,82.61764705882354,66.58333333333333,1.574775211632454e-07,5106104.25,260,2.401160330810097,5.7911959699394356e-08,4229075.623374532
2020-11-10 18:12:59,83.92682926829268,69,1.1729798791660378e-07,6056064.75,189,0.7119277814305572,4.393905803682165e-08,4424282.984952725
2020-11-10 18:13:59,86.6,71.16666666666667,1.1964112650449082e-07,7038849,294,1.171893055416463,4.7652403174740735e-08,5275419.785489824
2020-11-10 18:14:59,87.66666666666667,74.25,1.2174035548890172e-07,8544685.25,181,3.0804040139061124,4.663832051806681e-08,6891691.114269646
2020-11-10 18:15:59,84.33333333333333,77.5,1.214421964150488e-07,5584526.25,152,1.2064640713902572,5.1423365011568753e-08,5566509.65745598
2020-11-10 18:16:59,85.18333333333334,79.91666666666667,1.2735078096079827e-07,6531766.5,354,2.6235578048816754,8.148563707060599e-08,5494657.342757349
2020-11-10 18:17:59,86.7,82.08333333333333,1.1444734185291403e-07,7895694.75,68,2.2752289262108696,6.565692352539871e-08,6413478.812844413
2020-11-10 18:18:59,85.76666666666667,84.58333333333333,1.2877168918440857e-07,5044679,85,0.6420453428086074,7.307359203437901e-08,6107917.746107874
2020-11-10 18:19:59,86.5,85.66666666666667,1.3546824319693284e-07,1718499.5,68,1.2974333637352375,7.102346084312306e-08,816359.1188078626
2020-11-10 18:20:59,90.53333333333333,87.08333333333333,1.4975894314761822e-07,2767315.5,411,2.4729649321321876,6.741364091617127e-08,2311989.5513390084
2020-11-10 18:21:59,89.16666666666667,88.25,1.0191119744487378e-07,7392163.5,102,3.4888711959919387,5.430575426563756e-08,5938817.475868428
2020-11-10 18:22:59,86.72413793103448,89,1.143211828355555e-07,8332972,455,4.253976247231467,5.713533024837046e-08,6626582.536532764
2020-11-10 18:23:59,86.4,89,1.1491254030874922e-07,4315827.75,202,0.8793937305515279,5.193570254936447e-08,4481539.720226597
2020-11-10 18:24:59,85.8,89.75,1.0883280296798906e-07,5412747.75,137,3.1559467676119,4.3414210242400145e-08,4483582.9931912925
2020-11-10 18:25:59,83.71666666666667,90,8.81789367790398e-08,6445204,187,0.9502923526765622,4.090553074464383e-08,4941330.872628294
2020-11-10 18:26:59,83.9,90.66666666666667,6.584589983946543e-08,7424428,217,0.7,1.7131071983627604e-09,5811197.3077627905
2020-11-10 18:28:59,82.95918367346938,92.33333333333333,6.986943620382856e-08,4787644.75,50,1.1598589582353325,1.8099402170639907e-08,3854758.6922013923
2020-11-10 18:29:59,75.375,93,6.598246382940872e-08,5706921,339,11.709371246996996,1.748153195731313e-09,4085953.567375185
